timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1539805718682,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-82,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718714,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-83,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718747,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-84,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718782,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-85,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718815,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-86,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718847,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-87,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718883,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-88,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718915,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-89,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718948,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-90,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718984,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-91,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719016,1,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-92,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,1
1539805719047,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-93,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805719083,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-94,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719117,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-95,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719146,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-96,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805719184,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-97,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719218,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-98,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719251,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-99,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719283,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-100,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719318,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-101,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719347,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-102,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805719384,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-103,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719419,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-104,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719452,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-105,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719483,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-106,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719518,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-107,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805719549,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-108,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
